Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Street number,Street,Postal code,City,Country,Region,Department,Department number,Plus_Code,Plus_Code_Compound,Plus_Code_Global
Quetta,"2 found, use single geocode.","Quetta, Balochistan, Pakistan",30.1798398,66.9749731,"locality, political",APPROXIMATE,,,,Quetta,Pakistan,Balochistan,Quetta,Quetta,,,
Peshawar,Ok,"Peshawar, Khyber Pakhtunkhwa, Pakistan",34.0151366,71.5249154,"locality, political",APPROXIMATE,,,,Peshawar,Pakistan,Khyber Pakhtunkhwa,Peshawar,Peshawar,,,
Multan,Ok,"Multan, Punjab, Pakistan",30.157458,71.5249154,"locality, political",APPROXIMATE,,,,Multan,Pakistan,Punjab,Multan,Multan,,,
Islamabad,Ok,"Islamabad, Islamabad Capital Territory, Pakistan",33.6844202,73.0478848,"locality, political",APPROXIMATE,,,,Islamabad,Pakistan,Islamabad Capital Territory,Islamabad,Islamabad,,,
Karachi,Ok,"Karachi, Karachi City, Sindh, Pakistan",24.8607343,67.0011364,"locality, political",APPROXIMATE,,,,Karachi,Pakistan,Sindh,Karachi City,Karachi City,,,
Hyderabad,Ok,"Hyderabad, Telangana, India",17.406498,78.4772439,"locality, political",APPROXIMATE,,,,Hyderabad,India,Telangana,,,,,
Multan,Ok,"Multan, Punjab, Pakistan",30.157458,71.5249154,"locality, political",APPROXIMATE,,,,Multan,Pakistan,Punjab,Multan,Multan,,,
Muree,Ok,"Murree, Rawalpindi, Punjab, Pakistan",33.9069576,73.3943017,"locality, political",APPROXIMATE,,,,Murree,Pakistan,Punjab,Rawalpindi,Rawalpindi,,,
,,,,,,,,,,,,,,,,,
Larkana,Ok,"Larkana, Sindh, Pakistan",27.5570498,68.2027616,"locality, political",APPROXIMATE,,,,Larkana,Pakistan,Sindh,Larkana,Larkana,,,
Lahore,Ok,"Lahore, Punjab, Pakistan",31.5203696,74.3587473,"locality, political",APPROXIMATE,,,,Lahore,Pakistan,Punjab,Lahore,Lahore,,,
Sialkot,Ok,"Sialkot, Punjab, Pakistan",32.4944991,74.5228916,"locality, political",APPROXIMATE,,,,Sialkot,Pakistan,Punjab,Sialkot,Sialkot,,,
Sukhur,Ok,"Sukkur, Sindh, Pakistan",27.7243563,68.8228082,"locality, political",APPROXIMATE,,,,Sukkur,Pakistan,Sindh,Sukkur,Sukkur,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Balochistan,Ok,"Balochistan, Pakistan",28.4907332,65.0957792,"administrative_area_level_1, political",APPROXIMATE,,,,,Pakistan,Balochistan,,,,,
Gilgit-Baltistan,Ok,Gilgit-Baltistan,35.8025667,74.9831808,"administrative_area_level_1, political",APPROXIMATE,,,,,,Gilgit-Baltistan,,,,,
Sindh,Ok,"Sindh, Pakistan",25.8943018,68.5247149,"administrative_area_level_1, political",APPROXIMATE,,,,,Pakistan,Sindh,,,,,
